ride_id,ride_date,ride_time,pickup_location,drop_location,ride_type,fare,distance_km,duration_mins
RIDE1021,2025-07-13,02:00:00,Downtown,Tech Park,UberPOOL,279.22,16.32,47
RIDE1022,2025-07-21,07:00:00,Central Park,Tech Park,UberPOOL,426.31,16.41,40
RIDE1023,2025-07-15,04:45:00,Tech Park,Suburb,UberXL,578.72,7.34,45
RIDE1024,2025-07-06,20:15:00,Mall,Downtown,UberPOOL,574.92,7.35,38
RIDE1025,2025-07-08,23:15:00,Tech Park,Uptown,UberPOOL,282.84,9.77,9
RIDE1026,2025-07-31,17:15:00,Uptown,Stadium,UberPOOL,109.67,15.43,29
RIDE1027,2025-07-03,13:00:00,Downtown,Airport,UberX,411.42,15.06,28
RIDE1028,2025-07-17,08:15:00,Uptown,Tech Park,UberXL,283.81,4.21,48
RIDE1029,2025-07-27,19:45:00,Mall,Central Park,UberX,516.52,14.95,53
RIDE1030,2025-07-30,23:00:00,Tech Park,Downtown,UberXL,424.03,14.23,15
RIDE1031,2025-07-18,20:00:00,Mall,Downtown,UberX,483.82,7.35,29
RIDE1032,2025-07-24,00:00:00,Mall,Stadium,UberXL,259.44,11.8,41
RIDE1033,2025-07-08,01:00:00,Tech Park,Stadium,UberXL,387.78,7.05,16
RIDE1034,2025-07-17,18:15:00,Downtown,Stadium,UberX,522.47,6.74,29
RIDE1035,2025-07-29,14:30:00,Tech Park,Central Park,UberX,145.71,6.72,9
RIDE1036,2025-07-30,00:45:00,Central Park,Uptown,UberXL,271.86,14.48,58
RIDE1037,2025-07-31,01:00:00,Downtown,Mall,UberX,412.61,6.12,41
RIDE1038,2025-07-24,09:30:00,Tech Park,Airport,UberX,413.5,16.69,34
RIDE1039,2025-07-15,17:30:00,Airport,Uptown,UberPOOL,555.56,8.89,20
RIDE1040,2025-07-23,04:30:00,Central Park,Airport,UberPOOL,359.5,18.53,44
RIDE1041,2025-07-16,02:45:00,Airport,Suburb,UberXL,346.96,10.45,40
RIDE1042,2025-07-19,00:45:00,Uptown,Mall,UberX,323.89,11.46,58
RIDE1043,2025-07-20,02:00:00,Downtown,Uptown,UberX,566.21,16.97,11
RIDE1044,2025-07-09,13:30:00,Uptown,Central Park,UberPOOL,378.26,7.96,55
RIDE1045,2025-07-19,14:45:00,Suburb,Uptown,UberPOOL,256.84,18.68,18
RIDE1046,2025-07-03,16:00:00,Mall,Central Park,UberX,310.2,19.24,37
RIDE1047,2025-07-16,00:15:00,Downtown,Mall,UberPOOL,566.07,11.24,17
RIDE1048,2025-07-22,15:30:00,Airport,Stadium,UberXL,456.48,10.91,32
RIDE1049,2025-07-05,21:15:00,Tech Park,Suburb,UberXL,168.24,3.75,56
RIDE1050,2025-07-22,14:45:00,Stadium,Tech Park,UberXL,578.03,19.35,24
RIDE1051,2025-07-22,08:15:00,Uptown,Suburb,UberX,122.94,11.52,45
RIDE1052,2025-07-29,06:45:00,Stadium,Central Park,UberXL,424.02,2.01,17
RIDE1053,2025-07-07,04:15:00,Suburb,Tech Park,UberX,452.94,2.05,51
RIDE1054,2025-07-23,02:30:00,Tech Park,Airport,UberXL,594.54,5.71,7
RIDE1055,2025-07-16,08:15:00,Uptown,Stadium,UberPOOL,589.85,15.58,29
RIDE1056,2025-07-17,15:30:00,Suburb,Tech Park,UberX,339.13,18.39,24
RIDE1057,2025-07-27,01:30:00,Airport,Uptown,UberPOOL,126.59,12.67,22
RIDE1058,2025-07-09,18:30:00,Mall,Uptown,UberPOOL,440.78,19.01,24
RIDE1059,2025-07-01,20:15:00,Uptown,Stadium,UberX,223.5,2.01,50
RIDE1060,2025-07-01,08:15:00,Tech Park,Suburb,UberX,139.19,19.09,43
RIDE1061,2025-07-21,03:45:00,Downtown,Uptown,UberPOOL,555.77,16.47,15
RIDE1062,2025-07-21,20:30:00,Downtown,Uptown,UberX,187.95,19.27,21
RIDE1063,2025-07-07,15:30:00,Tech Park,Uptown,UberX,495.31,4.25,21
RIDE1064,2025-07-25,15:00:00,Tech Park,Downtown,UberXL,436.75,5.72,46
RIDE1065,2025-07-25,11:15:00,Uptown,Suburb,UberPOOL,539.63,7.09,21
RIDE1066,2025-07-29,07:00:00,Uptown,Central Park,UberXL,113.87,9.03,8
RIDE1067,2025-07-05,14:45:00,Stadium,Uptown,UberX,387.33,14.07,36
RIDE1068,2025-07-13,17:30:00,Suburb,Tech Park,UberPOOL,401.86,12.39,54
RIDE1069,2025-07-07,03:00:00,Stadium,Downtown,UberXL,365.51,17.37,24
RIDE1070,2025-07-03,09:30:00,Mall,Uptown,UberX,170.31,5.22,48
RIDE1071,2025-07-12,16:00:00,Airport,Mall,UberXL,214.84,15.68,54
RIDE1072,2025-07-18,13:30:00,Suburb,Airport,UberX,372.19,3.72,39
RIDE1073,2025-07-26,02:45:00,Airport,Tech Park,UberPOOL,289.75,18.26,17
RIDE1074,2025-07-11,21:15:00,Suburb,Downtown,UberPOOL,217.14,10.16,32
RIDE1075,2025-07-29,23:45:00,Suburb,Mall,UberPOOL,193.88,8.11,41
RIDE1076,2025-07-03,07:45:00,Mall,Suburb,UberPOOL,335.26,2.13,27
RIDE1077,2025-07-18,20:15:00,Mall,Tech Park,UberPOOL,307.9,9.5,6
RIDE1078,2025-07-13,19:15:00,Mall,Suburb,UberX,237.0,19.06,53
RIDE1079,2025-07-31,17:30:00,Suburb,Downtown,UberXL,570.35,15.42,28
RIDE1080,2025-07-18,03:00:00,Uptown,Airport,UberPOOL,568.75,6.71,37
RIDE1081,2025-07-02,16:45:00,Downtown,Mall,UberX,393.72,9.37,18
RIDE1082,2025-07-23,05:00:00,Suburb,Stadium,UberXL,265.24,13.22,20
RIDE1083,2025-07-09,07:45:00,Suburb,Downtown,UberXL,273.1,7.73,22
RIDE1084,2025-07-14,15:30:00,Downtown,Tech Park,UberXL,514.27,11.37,6
RIDE1085,2025-07-20,00:30:00,Tech Park,Uptown,UberX,470.79,10.54,47
RIDE1086,2025-07-02,06:15:00,Stadium,Airport,UberPOOL,347.28,6.91,51
RIDE1087,2025-07-10,10:30:00,Stadium,Central Park,UberXL,186.67,6.29,31
RIDE1088,2025-07-04,15:00:00,Mall,Uptown,UberX,529.94,3.19,23
RIDE1089,2025-07-23,16:45:00,Airport,Mall,UberPOOL,366.12,13.89,10
RIDE1090,2025-07-14,16:15:00,Stadium,Suburb,UberPOOL,477.64,11.58,33
RIDE1091,2025-07-18,20:15:00,Stadium,Suburb,UberPOOL,290.44,6.98,53
RIDE1092,2025-07-20,18:15:00,Stadium,Uptown,UberPOOL,596.89,4.33,16
RIDE1093,2025-07-26,11:15:00,Central Park,Mall,UberXL,433.52,15.53,50
RIDE1094,2025-07-29,06:15:00,Stadium,Airport,UberX,251.22,4.97,8
RIDE1095,2025-07-29,07:15:00,Downtown,Stadium,UberXL,288.17,11.69,52
RIDE1096,2025-07-04,13:45:00,Tech Park,Downtown,UberXL,116.52,2.7,40
RIDE1097,2025-07-21,21:00:00,Downtown,Tech Park,UberPOOL,435.66,3.36,10
RIDE1098,2025-07-22,11:30:00,Downtown,Uptown,UberPOOL,113.99,13.33,20
RIDE1099,2025-07-21,10:15:00,Downtown,Mall,UberX,220.5,13.63,11
RIDE1100,2025-07-01,01:45:00,Tech Park,Downtown,UberX,368.21,2.73,8
RIDE1101,2025-07-04,06:15:00,Tech Park,Stadium,UberPOOL,434.27,16.04,30
RIDE1102,2025-07-04,18:00:00,Tech Park,Uptown,UberXL,301.07,14.33,9
RIDE1103,2025-07-03,03:30:00,Uptown,Stadium,UberXL,239.14,18.2,57
RIDE1104,2025-07-17,11:45:00,Stadium,Central Park,UberXL,119.2,1.06,47
RIDE1105,2025-07-01,20:00:00,Stadium,Downtown,UberXL,325.94,15.49,40
RIDE1106,2025-07-15,11:30:00,Uptown,Downtown,UberPOOL,323.98,14.49,38
RIDE1107,2025-07-06,03:00:00,Central Park,Airport,UberPOOL,107.86,9.86,53
RIDE1108,2025-07-29,20:45:00,Stadium,Central Park,UberPOOL,490.14,13.44,39
RIDE1109,2025-07-11,08:30:00,Downtown,Uptown,UberPOOL,508.31,6.54,26
RIDE1110,2025-07-25,05:45:00,Tech Park,Stadium,UberPOOL,415.33,16.6,22
RIDE1111,2025-07-23,11:45:00,Tech Park,Mall,UberX,184.24,6.17,29
RIDE1112,2025-07-24,05:00:00,Central Park,Tech Park,UberXL,149.23,12.94,54
RIDE1113,2025-07-04,00:30:00,Airport,Tech Park,UberXL,271.1,19.17,28
RIDE1114,2025-07-31,21:30:00,Central Park,Downtown,UberPOOL,367.87,19.56,44
RIDE1115,2025-07-13,18:15:00,Downtown,Mall,UberPOOL,352.75,15.34,31
RIDE1116,2025-07-16,20:15:00,Downtown,Suburb,UberXL,460.79,5.22,9
RIDE1117,2025-07-19,00:00:00,Downtown,Uptown,UberX,399.58,10.95,30
RIDE1118,2025-07-09,14:45:00,Airport,Suburb,UberX,158.74,18.76,11
RIDE1119,2025-07-21,12:00:00,Downtown,Stadium,UberXL,583.73,7.04,20
RIDE1120,2025-07-09,10:45:00,Downtown,Uptown,UberXL,569.99,19.25,43
RIDE1121,2025-07-26,20:00:00,Airport,Mall,UberX,577.62,4.32,52
RIDE1122,2025-07-13,15:15:00,Suburb,Mall,UberPOOL,409.1,6.62,37
RIDE1123,2025-07-20,01:45:00,Suburb,Stadium,UberXL,154.65,16.05,40
RIDE1124,2025-07-17,12:30:00,Central Park,Mall,UberXL,153.52,5.17,21
RIDE1125,2025-07-16,20:30:00,Mall,Uptown,UberPOOL,336.86,5.38,21
RIDE1126,2025-07-24,09:00:00,Airport,Suburb,UberX,375.74,3.79,46
RIDE1127,2025-07-19,01:15:00,Uptown,Suburb,UberPOOL,325.28,8.73,36
RIDE1128,2025-07-13,01:30:00,Uptown,Airport,UberPOOL,178.84,17.94,11
RIDE1129,2025-07-24,10:00:00,Stadium,Mall,UberPOOL,373.56,19.33,12
RIDE1130,2025-07-16,08:15:00,Airport,Central Park,UberX,449.41,19.53,59
RIDE1131,2025-07-30,23:45:00,Tech Park,Suburb,UberX,273.87,12.89,56
RIDE1132,2025-07-20,22:00:00,Airport,Central Park,UberXL,412.27,17.58,43
RIDE1133,2025-07-15,03:15:00,Airport,Stadium,UberPOOL,118.45,7.57,54
RIDE1134,2025-07-05,03:30:00,Suburb,Downtown,UberPOOL,334.4,9.25,21
RIDE1135,2025-07-14,14:30:00,Uptown,Tech Park,UberPOOL,179.87,13.71,26
RIDE1136,2025-07-17,04:30:00,Tech Park,Downtown,UberXL,541.05,1.82,53
RIDE1137,2025-07-04,16:30:00,Central Park,Tech Park,UberXL,146.18,16.65,30
RIDE1138,2025-07-20,21:15:00,Mall,Suburb,UberX,470.09,9.57,13
RIDE1139,2025-07-07,07:15:00,Airport,Uptown,UberX,574.09,13.21,16
RIDE1140,2025-07-01,08:30:00,Uptown,Airport,UberPOOL,398.26,4.98,27
RIDE1141,2025-07-02,03:15:00,Mall,Airport,UberX,397.61,12.6,10
RIDE1142,2025-07-30,21:15:00,Stadium,Uptown,UberXL,196.28,9.71,33
RIDE1143,2025-07-16,15:30:00,Stadium,Tech Park,UberXL,528.62,11.96,49
RIDE1144,2025-07-16,23:15:00,Downtown,Suburb,UberX,284.85,4.57,20
RIDE1145,2025-07-15,19:15:00,Suburb,Stadium,UberPOOL,112.49,7.92,39
RIDE1146,2025-07-09,12:15:00,Central Park,Downtown,UberPOOL,520.99,5.46,43
RIDE1147,2025-07-27,19:30:00,Mall,Central Park,UberPOOL,476.22,14.13,57
RIDE1148,2025-07-27,05:45:00,Central Park,Mall,UberX,389.94,9.43,34
RIDE1149,2025-07-15,10:00:00,Downtown,Mall,UberPOOL,102.38,1.13,32
RIDE1150,2025-07-19,15:45:00,Mall,Suburb,UberX,288.3,3.56,24
RIDE1151,2025-07-03,09:15:00,Downtown,Uptown,UberXL,420.73,10.93,26
RIDE1152,2025-07-16,23:30:00,Mall,Downtown,UberX,485.02,2.01,53
RIDE1153,2025-07-12,21:30:00,Central Park,Airport,UberXL,439.57,8.97,43
RIDE1154,2025-07-23,14:30:00,Suburb,Mall,UberXL,569.62,13.44,41
RIDE1155,2025-07-15,10:15:00,Uptown,Central Park,UberPOOL,451.05,18.4,53
RIDE1156,2025-07-08,02:30:00,Central Park,Airport,UberXL,239.68,1.43,20
RIDE1157,2025-07-22,12:45:00,Stadium,Uptown,UberPOOL,282.01,5.7,30
RIDE1158,2025-07-12,12:15:00,Tech Park,Downtown,UberX,568.99,4.6,25
RIDE1159,2025-07-25,14:30:00,Airport,Tech Park,UberPOOL,516.52,3.49,24
RIDE1160,2025-07-02,17:15:00,Mall,Airport,UberPOOL,375.45,15.62,52
RIDE1161,2025-07-27,13:00:00,Mall,Suburb,UberPOOL,227.99,19.09,28
RIDE1162,2025-07-03,10:00:00,Mall,Uptown,UberX,165.49,4.02,29
RIDE1163,2025-07-29,10:00:00,Airport,Uptown,UberPOOL,505.92,2.31,16
RIDE1164,2025-07-05,03:45:00,Stadium,Uptown,UberX,500.87,16.64,16
RIDE1165,2025-07-16,16:30:00,Suburb,Stadium,UberXL,128.11,13.43,48
RIDE1166,2025-07-11,10:15:00,Suburb,Stadium,UberPOOL,124.88,10.93,12
RIDE1167,2025-07-26,23:00:00,Airport,Mall,UberPOOL,400.43,3.14,12
RIDE1168,2025-07-12,00:45:00,Downtown,Mall,UberPOOL,370.28,18.99,6
RIDE1169,2025-07-21,00:30:00,Airport,Suburb,UberX,149.7,4.84,49
RIDE1170,2025-07-14,13:15:00,Stadium,Uptown,UberX,220.14,6.17,28
RIDE1171,2025-07-21,12:15:00,Central Park,Downtown,UberXL,528.4,6.33,30
RIDE1172,2025-07-14,16:30:00,Mall,Airport,UberXL,337.48,10.49,29
RIDE1173,2025-07-10,23:00:00,Mall,Uptown,UberX,502.55,4.8,32
RIDE1174,2025-07-25,05:00:00,Suburb,Airport,UberPOOL,165.51,17.56,28
RIDE1175,2025-07-16,01:30:00,Downtown,Tech Park,UberX,599.02,13.6,16
RIDE1176,2025-07-12,06:15:00,Suburb,Mall,UberPOOL,562.42,6.58,40
RIDE1177,2025-07-08,14:15:00,Mall,Stadium,UberX,482.59,2.96,15
RIDE1178,2025-07-30,09:45:00,Mall,Stadium,UberXL,313.34,7.81,22
RIDE1179,2025-07-30,10:00:00,Suburb,Uptown,UberX,235.1,7.85,58
RIDE1180,2025-07-13,01:15:00,Tech Park,Suburb,UberXL,329.23,9.7,18
RIDE1181,2025-07-17,16:30:00,Airport,Uptown,UberX,194.84,5.89,53
RIDE1182,2025-07-29,00:45:00,Central Park,Stadium,UberX,543.12,4.24,26
RIDE1183,2025-07-23,13:15:00,Uptown,Downtown,UberXL,390.22,11.52,16
RIDE1184,2025-07-05,08:15:00,Mall,Central Park,UberPOOL,130.86,16.14,12
RIDE1185,2025-07-02,04:15:00,Airport,Tech Park,UberX,298.75,15.48,42
RIDE1186,2025-07-27,04:00:00,Central Park,Tech Park,UberPOOL,304.17,16.19,59
RIDE1187,2025-07-23,16:00:00,Suburb,Central Park,UberXL,339.98,17.81,33
RIDE1188,2025-07-03,23:30:00,Airport,Suburb,UberX,294.14,19.8,47
RIDE1189,2025-07-14,06:00:00,Suburb,Downtown,UberX,167.72,11.28,25
RIDE1190,2025-07-18,13:45:00,Tech Park,Suburb,UberXL,347.75,15.36,23
