ride_id,ride_date,ride_time,pickup_location,drop_location,ride_type,fare,distance_km,duration_mins
RIDE1040,2025-07-09,06:00:00,Stadium,Uptown,UberX,405.92,18.33,34
RIDE1041,2025-07-17,14:15:00,Uptown,Mall,UberX,286.97,1.25,50
RIDE1042,2025-07-27,17:00:00,Downtown,Central Park,UberX,508.28,2.51,14
RIDE1043,2025-07-31,17:30:00,Uptown,Tech Park,UberX,519.07,11.72,24
RIDE1044,2025-07-31,17:30:00,Mall,Airport,UberXL,172.5,2.87,35
RIDE1045,2025-07-02,00:15:00,Airport,Downtown,UberPOOL,455.03,19.07,46
RIDE1046,2025-07-23,08:00:00,Central Park,Suburb,UberPOOL,286.12,15.41,8
RIDE1047,2025-07-14,05:30:00,Airport,Downtown,UberX,410.92,14.69,7
RIDE1048,2025-07-10,12:45:00,Suburb,Stadium,UberXL,297.62,4.07,20
RIDE1049,2025-07-05,04:45:00,Mall,Airport,UberPOOL,213.25,6.79,12
RIDE1050,2025-07-01,17:30:00,Mall,Tech Park,UberX,447.13,2.0,36
RIDE1051,2025-07-30,07:30:00,Uptown,Downtown,UberXL,189.86,10.63,20
RIDE1052,2025-07-14,08:15:00,Suburb,Mall,UberPOOL,285.04,10.59,11
RIDE1053,2025-07-15,06:45:00,Suburb,Uptown,UberX,165.33,17.04,26
RIDE1054,2025-07-01,18:00:00,Suburb,Uptown,UberPOOL,184.78,16.22,55
RIDE1055,2025-07-06,04:00:00,Airport,Central Park,UberX,514.79,14.57,10
RIDE1056,2025-07-10,02:45:00,Airport,Tech Park,UberPOOL,556.65,11.98,54
RIDE1057,2025-07-24,20:45:00,Airport,Central Park,UberX,381.79,1.19,59
RIDE1058,2025-07-25,21:15:00,Mall,Suburb,UberPOOL,166.2,14.16,23
RIDE1059,2025-07-05,20:00:00,Uptown,Suburb,UberXL,190.1,3.67,41
RIDE1060,2025-07-08,15:00:00,Downtown,Tech Park,UberXL,251.93,12.66,56
RIDE1061,2025-07-17,16:00:00,Suburb,Uptown,UberXL,201.45,3.27,26
RIDE1062,2025-07-21,07:00:00,Uptown,Downtown,UberPOOL,447.27,18.95,13
RIDE1063,2025-07-24,00:00:00,Central Park,Downtown,UberXL,329.36,6.3,16
RIDE1064,2025-07-27,11:15:00,Central Park,Uptown,UberX,254.17,16.12,10
RIDE1065,2025-07-22,09:00:00,Mall,Uptown,UberX,534.51,16.84,42
RIDE1066,2025-07-05,23:15:00,Downtown,Airport,UberPOOL,247.91,4.16,55
RIDE1067,2025-07-21,04:00:00,Suburb,Tech Park,UberXL,135.71,10.01,24
RIDE1068,2025-07-19,18:45:00,Uptown,Airport,UberXL,179.87,19.39,17
RIDE1069,2025-07-17,08:30:00,Uptown,Central Park,UberX,455.89,17.7,41
RIDE1070,2025-07-30,06:30:00,Uptown,Mall,UberX,171.76,16.06,16
RIDE1071,2025-07-25,15:45:00,Mall,Suburb,UberX,577.98,2.57,40
RIDE1072,2025-07-23,14:45:00,Uptown,Stadium,UberPOOL,406.72,10.12,14
RIDE1073,2025-07-29,23:00:00,Downtown,Stadium,UberX,225.99,14.88,57
RIDE1074,2025-07-01,04:30:00,Mall,Suburb,UberPOOL,562.9,15.01,17
RIDE1075,2025-07-07,13:30:00,Airport,Tech Park,UberPOOL,482.25,6.65,20
RIDE1076,2025-07-29,02:00:00,Tech Park,Airport,UberPOOL,483.7,14.03,20
RIDE1077,2025-07-13,20:15:00,Central Park,Downtown,UberX,181.77,2.96,31
RIDE1078,2025-07-06,22:15:00,Airport,Downtown,UberX,516.54,7.14,37
RIDE1079,2025-07-14,18:15:00,Uptown,Central Park,UberX,190.82,7.11,43
RIDE1080,2025-07-26,15:15:00,Downtown,Airport,UberXL,350.78,17.54,50
RIDE1081,2025-07-20,01:15:00,Downtown,Uptown,UberXL,248.88,1.55,40
RIDE1082,2025-07-10,13:30:00,Stadium,Tech Park,UberXL,534.59,17.16,5
RIDE1083,2025-07-26,18:45:00,Mall,Tech Park,UberPOOL,175.74,4.46,20
RIDE1084,2025-07-23,06:00:00,Downtown,Tech Park,UberX,258.72,2.55,25
RIDE1085,2025-07-28,03:30:00,Tech Park,Suburb,UberX,551.99,3.33,48
RIDE1086,2025-07-20,09:00:00,Downtown,Mall,UberXL,128.43,2.2,28
RIDE1087,2025-07-20,03:00:00,Uptown,Downtown,UberPOOL,583.28,5.12,57
RIDE1088,2025-07-16,07:45:00,Central Park,Suburb,UberXL,121.54,17.88,36
RIDE1089,2025-07-04,00:45:00,Downtown,Uptown,UberX,511.12,10.15,18
RIDE1090,2025-07-25,08:45:00,Airport,Mall,UberX,522.05,7.48,45
RIDE1091,2025-07-23,00:15:00,Stadium,Tech Park,UberX,577.56,18.38,33
RIDE1092,2025-07-14,13:00:00,Central Park,Tech Park,UberXL,220.2,16.03,7
RIDE1093,2025-07-25,11:15:00,Downtown,Tech Park,UberPOOL,549.98,11.75,5
RIDE1094,2025-07-06,18:15:00,Uptown,Airport,UberPOOL,359.95,10.38,16
RIDE1095,2025-07-14,03:45:00,Uptown,Mall,UberX,409.06,1.03,17
RIDE1096,2025-07-27,04:45:00,Airport,Mall,UberXL,363.48,4.78,18
RIDE1097,2025-07-11,13:45:00,Mall,Airport,UberPOOL,318.2,2.06,16
RIDE1098,2025-07-08,12:15:00,Airport,Suburb,UberXL,136.82,16.17,32
RIDE1099,2025-07-15,03:45:00,Tech Park,Suburb,UberPOOL,230.77,16.14,13
RIDE1100,2025-07-02,17:15:00,Airport,Tech Park,UberXL,532.99,9.76,35
RIDE1101,2025-07-02,15:30:00,Uptown,Airport,UberXL,256.12,5.62,20
RIDE1102,2025-07-07,23:45:00,Uptown,Suburb,UberPOOL,279.96,11.83,6
RIDE1103,2025-07-06,14:15:00,Uptown,Suburb,UberPOOL,292.88,7.48,39
RIDE1104,2025-07-13,01:45:00,Uptown,Downtown,UberPOOL,534.3,15.68,59
RIDE1105,2025-07-24,06:45:00,Stadium,Airport,UberX,307.97,5.08,55
RIDE1106,2025-07-23,00:45:00,Uptown,Stadium,UberPOOL,507.24,18.36,16
RIDE1107,2025-07-05,14:00:00,Suburb,Stadium,UberPOOL,334.6,7.15,29
RIDE1108,2025-07-21,14:00:00,Airport,Downtown,UberPOOL,463.71,14.77,40
RIDE1109,2025-07-26,15:15:00,Stadium,Uptown,UberX,269.6,5.26,30
RIDE1110,2025-07-01,13:15:00,Suburb,Stadium,UberX,474.36,4.49,6
RIDE1111,2025-07-14,01:15:00,Mall,Uptown,UberXL,152.51,3.45,30
RIDE1112,2025-07-17,04:15:00,Tech Park,Suburb,UberPOOL,278.15,18.47,16
RIDE1113,2025-07-01,05:00:00,Mall,Downtown,UberPOOL,290.38,1.41,8
RIDE1114,2025-07-16,06:45:00,Airport,Central Park,UberPOOL,518.89,14.34,10
RIDE1115,2025-07-08,02:45:00,Downtown,Airport,UberPOOL,495.67,8.53,12
RIDE1116,2025-07-20,02:45:00,Tech Park,Downtown,UberPOOL,592.46,3.26,12
RIDE1117,2025-07-30,01:00:00,Uptown,Mall,UberX,526.96,14.82,8
RIDE1118,2025-07-24,14:30:00,Tech Park,Mall,UberPOOL,410.72,9.23,53
RIDE1119,2025-07-20,20:15:00,Tech Park,Suburb,UberX,409.0,13.56,31
RIDE1120,2025-07-19,16:00:00,Uptown,Mall,UberX,102.56,8.3,21
RIDE1121,2025-07-13,19:45:00,Stadium,Suburb,UberXL,374.77,10.13,53
RIDE1122,2025-07-10,14:00:00,Downtown,Suburb,UberXL,173.77,2.33,31
RIDE1123,2025-07-15,07:15:00,Mall,Airport,UberPOOL,162.38,14.7,16
RIDE1124,2025-07-25,14:15:00,Mall,Central Park,UberPOOL,221.48,12.63,48
RIDE1125,2025-07-30,22:00:00,Tech Park,Mall,UberXL,440.9,11.11,29
RIDE1126,2025-07-08,14:00:00,Uptown,Tech Park,UberX,594.59,12.83,55
RIDE1127,2025-07-05,01:30:00,Suburb,Airport,UberX,174.69,16.11,45
RIDE1128,2025-07-28,02:00:00,Central Park,Airport,UberPOOL,177.01,18.56,59
RIDE1129,2025-07-25,21:15:00,Suburb,Mall,UberXL,208.38,4.71,7
RIDE1130,2025-07-19,22:00:00,Suburb,Mall,UberPOOL,344.88,16.2,41
RIDE1131,2025-07-01,19:30:00,Central Park,Airport,UberXL,166.0,18.95,23
RIDE1132,2025-07-25,13:00:00,Stadium,Tech Park,UberX,339.12,8.19,33
RIDE1133,2025-07-04,18:15:00,Downtown,Mall,UberPOOL,394.54,12.81,52
RIDE1134,2025-07-10,21:45:00,Mall,Uptown,UberPOOL,575.09,16.31,53
RIDE1135,2025-07-14,06:45:00,Stadium,Airport,UberPOOL,272.39,7.06,53
RIDE1136,2025-07-18,12:30:00,Airport,Downtown,UberXL,562.89,8.21,18
RIDE1137,2025-07-15,06:45:00,Airport,Uptown,UberX,227.45,13.89,42
RIDE1138,2025-07-14,16:00:00,Suburb,Mall,UberXL,483.07,9.87,41
RIDE1139,2025-07-07,20:00:00,Central Park,Airport,UberXL,529.96,4.62,6
RIDE1140,2025-07-31,15:00:00,Tech Park,Central Park,UberXL,518.55,6.28,58
RIDE1141,2025-07-02,09:45:00,Airport,Mall,UberX,479.11,9.33,7
RIDE1142,2025-07-22,13:00:00,Central Park,Downtown,UberX,490.07,7.78,36
RIDE1143,2025-07-25,11:45:00,Stadium,Tech Park,UberPOOL,596.29,12.23,33
RIDE1144,2025-07-17,15:15:00,Airport,Downtown,UberXL,263.23,12.76,59
RIDE1145,2025-07-06,01:15:00,Stadium,Tech Park,UberXL,382.03,17.39,52
RIDE1146,2025-07-26,19:45:00,Mall,Airport,UberX,592.36,6.53,15
RIDE1147,2025-07-24,06:30:00,Downtown,Central Park,UberPOOL,257.38,1.47,17
RIDE1148,2025-07-24,07:15:00,Downtown,Mall,UberXL,392.43,14.06,40
RIDE1149,2025-07-15,09:30:00,Mall,Airport,UberPOOL,527.62,14.32,50
RIDE1150,2025-07-14,09:15:00,Uptown,Airport,UberXL,106.97,3.19,15
RIDE1151,2025-07-29,07:00:00,Downtown,Tech Park,UberX,540.18,6.58,16
RIDE1152,2025-07-11,06:15:00,Downtown,Uptown,UberXL,144.31,10.23,12
RIDE1153,2025-07-13,07:15:00,Central Park,Airport,UberX,423.19,6.15,39
RIDE1154,2025-07-22,10:45:00,Suburb,Central Park,UberXL,506.44,12.03,5
RIDE1155,2025-07-13,12:00:00,Central Park,Mall,UberXL,200.85,6.71,50
RIDE1156,2025-07-17,05:30:00,Mall,Suburb,UberPOOL,204.85,19.76,33
RIDE1157,2025-07-13,15:00:00,Tech Park,Suburb,UberX,511.53,9.37,58
RIDE1158,2025-07-12,20:00:00,Central Park,Tech Park,UberXL,383.75,6.59,52
RIDE1159,2025-07-19,13:45:00,Tech Park,Airport,UberPOOL,452.68,14.56,18
RIDE1160,2025-07-07,23:45:00,Downtown,Central Park,UberPOOL,209.85,7.57,36
RIDE1161,2025-07-07,03:45:00,Uptown,Stadium,UberPOOL,163.58,15.37,28
RIDE1162,2025-07-17,06:45:00,Downtown,Suburb,UberXL,475.73,13.83,59
RIDE1163,2025-07-15,22:45:00,Airport,Stadium,UberX,287.96,2.91,52
RIDE1164,2025-07-27,09:45:00,Mall,Downtown,UberXL,166.02,9.44,30
RIDE1165,2025-07-22,09:30:00,Mall,Suburb,UberX,221.07,19.99,55
RIDE1166,2025-07-02,10:00:00,Tech Park,Downtown,UberPOOL,428.75,13.54,34
RIDE1167,2025-07-28,08:30:00,Central Park,Airport,UberXL,227.46,5.16,43
RIDE1168,2025-07-03,05:45:00,Suburb,Stadium,UberXL,130.47,10.7,53
RIDE1169,2025-07-14,03:00:00,Mall,Downtown,UberX,499.54,1.33,16
RIDE1170,2025-07-26,02:00:00,Airport,Downtown,UberXL,270.95,1.78,36
RIDE1171,2025-07-08,05:15:00,Suburb,Uptown,UberPOOL,130.72,1.28,8
RIDE1172,2025-07-31,05:30:00,Downtown,Central Park,UberXL,352.64,9.83,21
RIDE1173,2025-07-17,02:00:00,Uptown,Mall,UberPOOL,426.44,1.91,11
RIDE1174,2025-07-29,12:00:00,Suburb,Tech Park,UberX,565.69,7.79,17
RIDE1175,2025-07-29,20:30:00,Mall,Downtown,UberX,209.26,18.75,30
RIDE1176,2025-07-16,19:00:00,Suburb,Airport,UberXL,375.37,4.77,17
RIDE1177,2025-07-24,20:45:00,Tech Park,Stadium,UberXL,402.71,16.07,34
RIDE1178,2025-07-25,06:30:00,Suburb,Mall,UberXL,101.72,10.2,26
RIDE1179,2025-07-24,10:30:00,Uptown,Downtown,UberXL,477.25,16.48,30
RIDE1180,2025-07-30,20:00:00,Downtown,Mall,UberX,305.16,13.3,56
RIDE1181,2025-07-27,13:30:00,Central Park,Stadium,UberPOOL,263.97,12.54,48
RIDE1182,2025-07-31,06:45:00,Airport,Suburb,UberXL,506.33,6.05,32
RIDE1183,2025-07-14,16:00:00,Central Park,Tech Park,UberXL,278.64,15.56,42
RIDE1184,2025-07-03,19:45:00,Downtown,Central Park,UberX,555.06,17.41,17
RIDE1185,2025-07-10,23:15:00,Stadium,Airport,UberPOOL,392.75,2.93,50
RIDE1186,2025-07-15,00:15:00,Suburb,Stadium,UberX,257.98,16.66,49
RIDE1187,2025-07-01,00:00:00,Tech Park,Airport,UberPOOL,286.96,13.58,59
RIDE1188,2025-07-05,09:30:00,Airport,Uptown,UberPOOL,370.14,9.82,45
RIDE1189,2025-07-22,14:45:00,Downtown,Stadium,UberXL,469.21,18.65,27
RIDE1190,2025-07-08,01:00:00,Suburb,Tech Park,UberPOOL,431.69,18.44,36
RIDE1191,2025-07-29,15:15:00,Tech Park,Downtown,UberX,221.11,1.11,43
RIDE1192,2025-07-01,21:30:00,Airport,Downtown,UberXL,540.41,12.45,46
RIDE1193,2025-07-31,05:30:00,Central Park,Uptown,UberPOOL,547.43,6.99,5
RIDE1194,2025-07-20,12:30:00,Stadium,Downtown,UberXL,208.3,11.11,31
RIDE1195,2025-07-18,07:30:00,Central Park,Airport,UberXL,244.77,19.33,57
RIDE1196,2025-07-06,01:15:00,Stadium,Uptown,UberPOOL,152.92,4.64,45
